,call_type,location
1779,Medical Incident,"(37.79282365093117, -122.39703419008931)"
1780,Medical Incident,"(37.71476593569722, -122.43260956930652)"
1781,Medical Incident,"(37.78347684038751, -122.4124351407277)"
1782,Structure Fire,"(37.784205674933816, -122.40761273180911)"
1783,Medical Incident,"(37.798792800254866, -122.44346286635209)"
1784,Medical Incident,"(37.77953108466273, -122.41354254868111)"
1785,Medical Incident,"(37.80480917127099, -122.4067955298258)"
1786,Medical Incident,"(37.739934924023586, -122.38272400008509)"
1787,Traffic Collision,"(37.78310139927685, -122.4191817050345)"
1788,Medical Incident,"(37.789926229810604, -122.39427622925423)"
1789,Medical Incident,"(37.76177683437902, -122.43515167277485)"
1790,Medical Incident,"(37.772930794881226, -122.38971674144874)"
1791,Medical Incident,"(37.79419821654016, -122.40142748608403)"
1792,Medical Incident,"(37.78186544733037, -122.41428534642068)"
1793,Medical Incident,"(37.78111921215415, -122.41259697063744)"
1794,Medical Incident,"(37.787980961959974, -122.42023159061893)"
1795,Traffic Collision,"(37.732739231175, -122.40517104923119)"
1796,Alarms,"(37.71914567906102, -122.44563492110161)"
1797,Medical Incident,"(37.788906283002945, -122.43383965516055)"
1798,Medical Incident,"(37.76778505863337, -122.4531901983405)"
1799,Medical Incident,"(37.78186544733037, -122.41428534642068)"
1800,Structure Fire,"(37.77404332593737, -122.4143676922186)"
1801,Medical Incident,"(37.798829074918714, -122.41061856275653)"
1802,Structure Fire,"(37.78901633555404, -122.41024243930812)"
1803,Alarms,"(37.73673251004218, -122.38056655890533)"
1804,Medical Incident,"(37.798829074918714, -122.41061856275653)"
1805,Alarms,"(37.71751346798067, -122.48059457446064)"
1806,Medical Incident,"(37.77126742394572, -122.43704561102948)"
1807,Other,"(37.80967301887915, -122.36633478764045)"
1808,Medical Incident,"(37.74213368194098, -122.42501817475811)"
1809,Other,"(37.78289497684748, -122.45334225887194)"
1810,Medical Incident,"(37.80821405297396, -122.41580242723023)"
1811,Medical Incident,"(37.783834437414136, -122.4129305220591)"
1812,Alarms,"(37.723644272113795, -122.4545988591746)"
1813,Medical Incident,"(37.71225539832082, -122.41710441031742)"
1814,Medical Incident,"(37.77233107207764, -122.50989678184108)"
1815,Structure Fire,"(37.76010129428169, -122.42142521263986)"
1816,Medical Incident,"(37.71879585504715, -122.46617566110402)"
1817,Medical Incident,"(37.78347684038751, -122.4124351407277)"
1818,Gas Leak (Natural and LP Gases),"(37.77336601296033, -122.45013888651042)"
1819,Medical Incident,"(37.74473843336829, -122.42051792104343)"
1820,Medical Incident,"(37.78264403568836, -122.41901915724246)"
1821,Structure Fire,"(37.78684689729814, -122.46201258177412)"
1822,Medical Incident,"(37.78479798382838, -122.43966386735134)"
1823,Medical Incident,"(37.78701078768754, -122.39997496189893)"
1824,Medical Incident,"(37.772930794881226, -122.38971674144874)"
1825,Structure Fire,"(37.79102834173834, -122.4208486210382)"
1826,Other,"(37.80967301887915, -122.36633478764045)"
1827,Structure Fire,"(37.78779428754141, -122.40352972836753)"
1828,Medical Incident,"(37.77604634712713, -122.41128875661012)"
1829,Alarms,"(37.78347684038751, -122.4124351407277)"
1830,Medical Incident,"(37.789063611220065, -122.40180312648046)"
1831,Medical Incident,"(37.77762423892872, -122.39998111124002)"
1832,Medical Incident,"(37.7786578549412, -122.41658034469829)"
1833,Structure Fire,"(37.79102834173834, -122.4208486210382)"
1834,Traffic Collision,"(37.732739231175, -122.40517104923119)"
1835,Medical Incident,"(37.7842993825154, -122.41014131985163)"
1836,Medical Incident,"(37.797761242105636, -122.43815801508528)"
1837,Structure Fire,"(37.78778674234962, -122.40307088677874)"
1838,Alarms,"(37.787764099009586, -122.40992532841902)"
1839,Medical Incident,"(37.76571899357405, -122.40952069115265)"
1840,Medical Incident,"(37.79128889125585, -122.42251494418716)"
1841,Structure Fire,"(37.725726596308355, -122.43241986100395)"
1842,Alarms,"(37.75922029758928, -122.46331160714958)"
1843,Medical Incident,"(37.783834437414136, -122.4129305220591)"
1844,Medical Incident,"(37.79259308230422, -122.41940178528543)"
1845,Medical Incident,"(37.79760649003413, -122.42203354863679)"
1846,Medical Incident,"(37.780974678766626, -122.42882514483902)"
1847,Medical Incident,"(37.76088893303751, -122.43500070271304)"
1848,Medical Incident,"(37.714900359301204, -122.44524179683391)"
1849,Alarms,"(37.7497020110556, -122.42049933416712)"
1850,Traffic Collision,"(37.77966274241233, -122.39484032081143)"
1851,Elevator / Escalator Rescue,"(37.79332436813847, -122.40279374970042)"
1852,Medical Incident,"(37.78087725854987, -122.41450689871087)"
1853,Medical Incident,"(37.780052503081095, -122.40977382526012)"
1854,Alarms,"(37.779167421925955, -122.40634642563238)"
1855,Traffic Collision,"(37.732739231175, -122.40517104923119)"
1856,Medical Incident,"(37.709273263137234, -122.4587594168517)"
1857,Medical Incident,"(37.78158423954212, -122.40803049399214)"
1858,Medical Incident,"(37.74609497608644, -122.40692220454407)"
1859,Structure Fire,"(37.769797850927084, -122.44857881483767)"
1860,Medical Incident,"(37.72848944263902, -122.42999537572818)"
1861,Alarms,"(37.78976142654421, -122.40481437114879)"
1862,Medical Incident,"(37.787708547267016, -122.43366853470879)"
1863,Medical Incident,"(37.7786578549412, -122.41658034469829)"
1864,Medical Incident,"(37.73607882495912, -122.38972310330021)"
1865,Medical Incident,"(37.78892245631014, -122.40163270094851)"
1866,Alarms,"(37.74799968099974, -122.4208218649126)"
1867,Medical Incident,"(37.77928414624413, -122.40206130013368)"
1868,Medical Incident,"(37.77968544483147, -122.4959871799905)"
1869,Medical Incident,"(37.79434484944092, -122.40521913061497)"
1870,Medical Incident,"(37.75956146677175, -122.41701813410828)"
1871,Alarms,"(37.71433481369802, -122.49204787167777)"
1872,Medical Incident,"(37.72342963705864, -122.45358240234498)"
1873,Medical Incident,"(37.78444888888193, -122.47258586592497)"
1874,Structure Fire,"(37.78684689729814, -122.46201258177412)"
1875,Medical Incident,"(37.77775881288114, -122.40811239746021)"
1876,Alarms,"(37.779167421925955, -122.40634642563238)"
1877,Alarms,"(37.71554505283677, -122.4736299197386)"
1878,Medical Incident,"(37.78822868615616, -122.41599519829205)"
1879,Medical Incident,"(37.78552673913388, -122.4113010320761)"
1880,Alarms,"(37.786811750594374, -122.40284972021034)"
1881,Medical Incident,"(37.71299253950237, -122.41126287588408)"
1882,Medical Incident,"(37.78486624373789, -122.4127821282671)"
1883,Medical Incident,"(37.7772146315852, -122.442488680247)"
1884,Alarms,"(37.787764099009586, -122.40992532841902)"
1885,Alarms,"(37.78976142654421, -122.40481437114879)"
1886,Medical Incident,"(37.78486624373789, -122.4127821282671)"
1887,Medical Incident,"(37.739783873218585, -122.43928744929535)"
1888,Structure Fire,"(37.79210840086005, -122.40093308392923)"
1889,Medical Incident,"(37.72308024516352, -122.45233155877914)"
1890,Structure Fire,"(37.784205674933816, -122.40761273180911)"
1891,Medical Incident,"(37.797761242105636, -122.43815801508528)"
1892,Medical Incident,"(37.71879585504715, -122.46617566110402)"
1893,Medical Incident,"(37.77928414624413, -122.40206130013368)"
1894,Alarms,"(37.77006294472443, -122.45024394053785)"
1895,Medical Incident,"(37.780971182391774, -122.40870867495441)"
1896,Medical Incident,"(37.78502466068867, -122.41197189056628)"
1897,Traffic Collision,"(37.714307654347195, -122.46260203730546)"
1898,Medical Incident,"(37.75342828669735, -122.43199291569877)"
1899,Medical Incident,"(37.78434676132734, -122.40889025274242)"
1900,Medical Incident,"(37.77462643903619, -122.44443040139211)"
1901,Medical Incident,"(37.76223903569975, -122.44697472080817)"
1902,Alarms,"(37.78066916324976, -122.40167804559798)"
1903,Structure Fire,"(37.77404332593737, -122.4143676922186)"
1904,Medical Incident,"(37.717617698041465, -122.42873577259472)"
1905,Citizen Assist / Service Call,"(37.73636054578885, -122.44978800049734)"
1906,Medical Incident,"(37.77680493552191, -122.41243633287964)"
1907,Medical Incident,"(37.7251865159091, -122.46167348831217)"
1908,Medical Incident,"(37.78715918395199, -122.38833128335644)"
1909,Medical Incident,"(37.77680493552191, -122.41243633287964)"
1910,Medical Incident,"(37.75223945497915, -122.41844527285122)"
1911,Traffic Collision,"(37.75124396447094, -122.42158533430495)"
1912,Medical Incident,"(37.79405527725433, -122.39899366637133)"
1913,Medical Incident,"(37.79282365093117, -122.39703419008931)"
1914,Alarms,"(37.78066916324976, -122.40167804559798)"
1915,Alarms,"(37.78137782059864, -122.4331620455216)"
1916,Citizen Assist / Service Call,"(37.75735157787322, -122.45116003893487)"
1917,Medical Incident,"(37.76418194637122, -122.42057572093287)"
1918,Medical Incident,"(37.79449189536066, -122.40805956541881)"
1919,Traffic Collision,"(37.714307654347195, -122.46260203730546)"
1920,Medical Incident,"(37.74854035882419, -122.41362712865411)"
1921,Medical Incident,"(37.7748701729732, -122.39441707175159)"
1922,Medical Incident,"(37.739783873218585, -122.43928744929535)"
1923,Alarms,"(37.76396860671989, -122.42414825174671)"
1924,Elevator / Escalator Rescue,"(37.78499964266719, -122.42109228187917)"
1925,Medical Incident,"(37.759961900035826, -122.43704557776393)"
1926,Alarms,"(37.769637599983724, -122.4376111773998)"
1927,Medical Incident,"(37.73448127491943, -122.39191206697484)"
1928,Medical Incident,"(37.78840477516522, -122.43029524376192)"
1929,Medical Incident,"(37.7980449492818, -122.3963670843851)"
1930,Medical Incident,"(37.77762423892872, -122.39998111124002)"
1931,Traffic Collision,"(37.78502466068867, -122.41197189056628)"
1932,Alarms,"(37.74799968099974, -122.4208218649126)"
1933,Medical Incident,"(37.77468233298753, -122.41966671791742)"
1934,Medical Incident,"(37.772918999869134, -122.49704569622831)"
1935,Medical Incident,"(37.76088893303751, -122.43500070271304)"
1936,Medical Incident,"(37.77828359097373, -122.40744901554527)"
1937,Medical Incident,"(37.709273263137234, -122.4587594168517)"
1938,Medical Incident,"(37.75182320592795, -122.45732262966104)"
1939,Alarms,"(37.787764099009586, -122.40992532841902)"
1940,Medical Incident,"(37.78186544733037, -122.41428534642068)"
1941,Traffic Collision,"(37.732739231175, -122.40517104923119)"
1942,Medical Incident,"(37.798511068450125, -122.40976909112528)"
1943,Medical Incident,"(37.75854472224434, -122.42050683289301)"
1944,Medical Incident,"(37.751435275745365, -122.41843553802961)"
1945,Citizen Assist / Service Call,"(37.72664747873968, -122.39386696204954)"
1946,Alarms,"(37.779167421925955, -122.40634642563238)"
1947,Medical Incident,"(37.77762423892872, -122.39998111124002)"
1948,Medical Incident,"(37.71299253950237, -122.41126287588408)"
1949,Medical Incident,"(37.77762423892872, -122.39998111124002)"
1950,Medical Incident,"(37.72094516162954, -122.47827820633243)"
1951,Medical Incident,"(37.75835046343877, -122.4246329235907)"
1952,Alarms,"(37.71433481369802, -122.49204787167777)"
1953,Traffic Collision,"(37.732739231175, -122.40517104923119)"
1954,Alarms,"(37.75922029758928, -122.46331160714958)"
1955,Medical Incident,"(37.788337139908634, -122.41601722783916)"
1956,Other,"(37.80967301887915, -122.36633478764045)"
1957,Structure Fire,"(37.725726596308355, -122.43241986100395)"
1958,Medical Incident,"(37.78620530168417, -122.4602871247204)"
1959,Structure Fire,"(37.79210840086005, -122.40093308392923)"
1960,Medical Incident,"(37.751435275745365, -122.41843553802961)"
1961,Medical Incident,"(37.80480917127099, -122.4067955298258)"
1962,Medical Incident,"(37.721294146845764, -122.39508265581476)"
1963,Other,"(37.803458496300436, -122.42672871890325)"
1964,Medical Incident,"(37.78650385758312, -122.42997893499373)"
1965,Structure Fire,"(37.79102834173834, -122.4208486210382)"
1966,Alarms,"(37.71914567906102, -122.44563492110161)"
1967,Structure Fire,"(37.725726596308355, -122.43241986100395)"
1968,Medical Incident,"(37.76418194637122, -122.42057572093287)"
1969,Alarms,"(37.723644272113795, -122.4545988591746)"
1970,Alarms,"(37.78347684038751, -122.4124351407277)"
1971,Medical Incident,"(37.780347549238506, -122.40648796780864)"
1972,Medical Incident,"(37.77326512861917, -122.4518097290918)"
1973,Medical Incident,"(37.742703154623115, -122.38792635226464)"
1974,Traffic Collision,"(37.7690423904807, -122.42685828992866)"
1975,Medical Incident,"(37.786117211837905, -122.4198542456919)"
1976,Traffic Collision,"(37.77966274241233, -122.39484032081143)"
1977,Gas Leak (Natural and LP Gases),"(37.77336601296033, -122.45013888651042)"
1978,Medical Incident,"(37.78139586688252, -122.41798799626775)"
1979,Medical Incident,"(37.79002959568828, -122.39258389903084)"
1980,Medical Incident,"(37.783386237938174, -122.40985372994119)"
1981,Medical Incident,"(37.771948530038884, -122.43125216001692)"
1982,Traffic Collision,"(37.76062760114267, -122.48007202651132)"
1983,Medical Incident,"(37.78570016321159, -122.44008114725587)"
1984,Medical Incident,"(37.78507459561367, -122.41113980106664)"
1985,Medical Incident,"(37.7969551635484, -122.39890821326146)"
1986,Medical Incident,"(37.7106565875609, -122.41545307734297)"
1987,Medical Incident,"(37.76223903569975, -122.44697472080817)"
1988,Medical Incident,"(37.74720516680044, -122.40359177117286)"
1989,Medical Incident,"(37.78326038612958, -122.4183661541803)"
1990,Medical Incident,"(37.71217948605508, -122.40245948017889)"
1991,Structure Fire,"(37.784205674933816, -122.40761273180911)"
1992,Structure Fire,"(37.79670390276714, -122.40843088814951)"
1993,Medical Incident,"(37.770727334245194, -122.42251458613262)"
1994,Medical Incident,"(37.777493843609115, -122.41629170277031)"
1995,Medical Incident,"(37.76177683437902, -122.43515167277485)"
1996,Medical Incident,"(37.76690257209692, -122.42314185093592)"
1997,Structure Fire,"(37.78778674234962, -122.40307088677874)"
1998,Traffic Collision,"(37.7690423904807, -122.42685828992866)"
1999,Medical Incident,"(37.76342005732764, -122.45825250717148)"
2000,Medical Incident,"(37.733860063315234, -122.44505721329281)"
2001,Medical Incident,"(37.7106565875609, -122.41545307734297)"
2002,Structure Fire,"(37.79670390276714, -122.40843088814951)"
2003,Medical Incident,"(37.742703154623115, -122.38792635226464)"
2004,Medical Incident,"(37.79807162521424, -122.44983490875634)"
2005,Structure Fire,"(37.79102834173834, -122.4208486210382)"
2006,Outside Fire,"(37.78706505086084, -122.41761947406877)"
2007,Medical Incident,"(37.771948530038884, -122.43125216001692)"
2008,Structure Fire,"(37.77903213273744, -122.40184327443923)"
2009,Medical Incident,"(37.764000834194064, -122.51034131805515)"
2010,Medical Incident,"(37.78480738867744, -122.41361543826261)"
2011,Medical Incident,"(37.78480738867744, -122.41361543826261)"
2012,Outside Fire,"(37.715064588360825, -122.38252205843774)"
2013,Alarms,"(37.71751346798067, -122.48059457446064)"
2014,Medical Incident,"(37.71650617816789, -122.3904177675197)"
2015,Traffic Collision,"(37.78941206020898, -122.4221352092407)"
2016,Medical Incident,"(37.78326038612958, -122.4183661541803)"
2017,Medical Incident,"(37.786117211837905, -122.4198542456919)"
2018,Medical Incident,"(37.79405527725433, -122.39899366637133)"
2019,Medical Incident,"(37.775558161299166, -122.41865858351969)"
2020,Alarms,"(37.76396860671989, -122.42414825174671)"
2021,Structure Fire,"(37.78779428754141, -122.40352972836753)"
2022,Other,"(37.80967301887915, -122.36633478764045)"
2023,Medical Incident,"(37.779483191688776, -122.42694396817473)"
2024,Medical Incident,"(37.74429280648923, -122.43909157897734)"
2025,Medical Incident,"(37.7980449492818, -122.3963670843851)"
2026,Medical Incident,"(37.78600482662267, -122.39507725880982)"
2027,Medical Incident,"(37.7772146315852, -122.442488680247)"
2028,Medical Incident,"(37.77968544483147, -122.4959871799905)"
2029,Medical Incident,"(37.76908276792404, -122.41335347266256)"
2030,Medical Incident,"(37.78989305481752, -122.39848755590093)"
2031,Alarms,"(37.78066916324976, -122.40167804559798)"
2032,Medical Incident,"(37.789253365793925, -122.42294721544586)"
2033,Structure Fire,"(37.79102834173834, -122.4208486210382)"
2034,Alarms,"(37.78347684038751, -122.4124351407277)"
2035,Medical Incident,"(37.77468233298753, -122.41966671791742)"
2036,Medical Incident,"(37.78347684038751, -122.4124351407277)"
2037,Medical Incident,"(37.79123408461944, -122.40405694935014)"
2038,Gas Leak (Natural and LP Gases),"(37.787277154617044, -122.41682519978644)"
2039,Medical Incident,"(37.746504037822014, -122.41937471975879)"
2040,Medical Incident,"(37.79405527725433, -122.39899366637133)"
2041,Medical Incident,"(37.735961339221696, -122.3901480451969)"
2042,Medical Incident,"(37.79553183168242, -122.40331694497738)"
2043,Medical Incident,"(37.79997797963015, -122.4428460907423)"
2044,Medical Incident,"(37.76778505863337, -122.4531901983405)"
2045,Medical Incident,"(37.79767063986633, -122.4078070280547)"
2046,Medical Incident,"(37.77233107207764, -122.50989678184108)"
2047,Traffic Collision,"(37.78941206020898, -122.4221352092407)"
2048,Medical Incident,"(37.71925848712543, -122.39145098840062)"
2049,Medical Incident,"(37.76778505863337, -122.4531901983405)"
2050,Medical Incident,"(37.78521736163072, -122.41706961139498)"
2051,Medical Incident,"(37.79760649003413, -122.42203354863679)"
2052,Other,"(37.80967301887915, -122.36633478764045)"
2053,Medical Incident,"(37.777712440431586, -122.41273670742505)"
2054,Medical Incident,"(37.78521736163072, -122.41706961139498)"
2055,Other,"(37.78289497684748, -122.45334225887194)"
2056,Medical Incident,"(37.78122345429451, -122.40892807079717)"
2057,Medical Incident,"(37.759683719967995, -122.50150344808813)"
2058,Medical Incident,"(37.73977843374456, -122.48627917418833)"
2059,Medical Incident,"(37.77589418602964, -122.41949151218599)"
2060,Traffic Collision,"(37.76813968514819, -122.42219917520552)"
2061,Medical Incident,"(37.753710753278796, -122.40730090326645)"
2062,Medical Incident,"(37.79760649003413, -122.42203354863679)"
2063,Medical Incident,"(37.774883227051106, -122.49503787075449)"
2064,Medical Incident,"(37.78186544733037, -122.41428534642068)"
2065,Medical Incident,"(37.79553183168242, -122.40331694497738)"
2066,Medical Incident,"(37.77530725034212, -122.4574432996502)"
2067,Medical Incident,"(37.777712440431586, -122.41273670742505)"
2068,Medical Incident,"(37.752628591756924, -122.4118998228401)"
2069,Gas Leak (Natural and LP Gases),"(37.787277154617044, -122.41682519978644)"
2070,Traffic Collision,"(37.7694111910912, -122.41093108914488)"
2071,Gas Leak (Natural and LP Gases),"(37.77336601296033, -122.45013888651042)"
2072,Alarms,"(37.76174205380627, -122.44845536085812)"
2073,Outside Fire,"(37.715064588360825, -122.38252205843774)"
2074,Outside Fire,"(37.78515093921559, -122.43308340023538)"
2075,Medical Incident,"(37.76177683437902, -122.43515167277485)"
2076,Medical Incident,"(37.73879097623769, -122.46794866272741)"
2077,Medical Incident,"(37.796511527078486, -122.40637044045687)"
2078,Alarms,"(37.71554505283677, -122.4736299197386)"
2079,Other,"(37.80967301887915, -122.36633478764045)"
2080,Medical Incident,"(37.7748701729732, -122.39441707175159)"
2081,Medical Incident,"(37.78176159407453, -122.41105817541424)"
2082,Alarms,"(37.7474217897142, -122.42488107473815)"
2083,Alarms,"(37.75115715973607, -122.44396837147559)"
2084,Medical Incident,"(37.725824973651754, -122.44232442261361)"
2085,Medical Incident,"(37.73583560780544, -122.41666953005547)"
2086,Medical Incident,"(37.7820730668609, -122.41222073685391)"
2087,Medical Incident,"(37.76418194637122, -122.42057572093287)"
2088,Gas Leak (Natural and LP Gases),"(37.79295308703109, -122.40153107531542)"
2089,Medical Incident,"(37.797761242105636, -122.43815801508528)"
2090,Medical Incident,"(37.78502466068867, -122.41197189056628)"
2091,Medical Incident,"(37.80047599749315, -122.405077189041)"
2092,Alarms,"(37.71914567906102, -122.44563492110161)"
2093,Medical Incident,"(37.74322084193196, -122.43783766298422)"
2094,Alarms,"(37.77453448775663, -122.48218377165352)"
2095,Outside Fire,"(37.74595419522209, -122.42014144289203)"
2096,Traffic Collision,"(37.78310139927685, -122.4191817050345)"
2097,Medical Incident,"(37.789810000570405, -122.43380005178419)"
2098,Medical Incident,"(37.78820945933492, -122.43116868640274)"
2099,Medical Incident,"(37.744027293424246, -122.47475787527763)"
2100,Medical Incident,"(37.757241812980055, -122.39589446802658)"
2101,Medical Incident,"(37.7731389469461, -122.47176212084541)"
2102,Medical Incident,"(37.78502466068867, -122.41197189056628)"
2103,Medical Incident,"(37.75857196664459, -122.40672604501253)"
2104,Medical Incident,"(37.772930794881226, -122.38971674144874)"
2105,Outside Fire,"(37.76389594548095, -122.46952196338182)"
2106,Alarms,"(37.71015560260275, -122.41260428896035)"
2107,Medical Incident,"(37.73583560780544, -122.41666953005547)"
2108,Medical Incident,"(37.725841088990414, -122.47886510417918)"
2109,Medical Incident,"(37.784960259561764, -122.41954785494165)"
2110,Medical Incident,"(37.78335207534299, -122.4209771262563)"
2111,Medical Incident,"(37.789926229810604, -122.39427622925423)"
2112,Traffic Collision,"(37.77305345322805, -122.41861821745897)"
2113,Traffic Collision,"(37.74865938229921, -122.41268763243282)"
2114,Medical Incident,"(37.773972520852055, -122.43082471319366)"
2115,Medical Incident,"(37.78894503632593, -122.42625226166518)"
2116,Medical Incident,"(37.71476593569722, -122.43260956930652)"
2117,Medical Incident,"(37.76511658030717, -122.43102280286743)"
2118,Medical Incident,"(37.76680351781942, -122.44070468780895)"
2119,Medical Incident,"(37.78275371115851, -122.48929247121588)"
2120,Medical Incident,"(37.725824973651754, -122.44232442261361)"
2121,Alarms,"(37.769377264822296, -122.42951142905196)"
2122,Structure Fire,"(37.784205674933816, -122.40761273180911)"
2123,Other,"(37.80967301887915, -122.36633478764045)"
2124,Medical Incident,"(37.79618119485004, -122.40169630883385)"
2125,Medical Incident,"(37.78211912159419, -122.39684142736185)"
2126,Medical Incident,"(37.798792800254866, -122.44346286635209)"
2127,Traffic Collision,"(37.7694111910912, -122.41093108914488)"
2128,Medical Incident,"(37.777440825518354, -122.4256193732342)"
2129,Medical Incident,"(37.798792800254866, -122.44346286635209)"
2130,Other,"(37.78289497684748, -122.45334225887194)"
2131,Electrical Hazard,"(37.73621937093732, -122.37976611082952)"
2132,Medical Incident,"(37.73027771542905, -122.42960688954622)"
2133,Medical Incident,"(37.78537343022413, -122.45908713949287)"
2134,Structure Fire,"(37.795312940901304, -122.39797475062254)"
2135,Alarms,"(37.78976142654421, -122.40481437114879)"
2136,Medical Incident,"(37.77546279127509, -122.40170377132124)"
2137,Medical Incident,"(37.78378929692922, -122.40926630730081)"
2138,Medical Incident,"(37.7515098435706, -122.4172103930876)"
2139,Medical Incident,"(37.713826661257634, -122.4333211303837)"
2140,Traffic Collision,"(37.7690423904807, -122.42685828992866)"
2141,Medical Incident,"(37.721793792535756, -122.39701479366113)"
2142,Alarms,"(37.71433481369802, -122.49204787167777)"
2143,Medical Incident,"(37.759961900035826, -122.43704557776393)"
2144,Medical Incident,"(37.773972520852055, -122.43082471319366)"
2145,Structure Fire,"(37.795312940901304, -122.39797475062254)"
2146,Medical Incident,"(37.775558161299166, -122.41865858351969)"
2147,Medical Incident,"(37.779483191688776, -122.42694396817473)"
2148,Medical Incident,"(37.775963171236334, -122.47137043126602)"
2149,Medical Incident,"(37.79181790063578, -122.39654935337765)"
2150,Medical Incident,"(37.747803769111734, -122.47394995282811)"
2151,Medical Incident,"(37.72728446113041, -122.38422375734943)"
2152,Medical Incident,"(37.77867695841051, -122.40860105759543)"
2153,Medical Incident,"(37.78335207534299, -122.4209771262563)"
2154,Medical Incident,"(37.766759438722254, -122.47912108713356)"
2155,Traffic Collision,"(37.76813968514819, -122.42219917520552)"
2156,Traffic Collision,"(37.75124396447094, -122.42158533430495)"
2157,Medical Incident,"(37.78480738867744, -122.41361543826261)"
2158,Medical Incident,"(37.788906283002945, -122.43383965516055)"
2159,Medical Incident,"(37.73977843374456, -122.48627917418833)"
2160,Alarms,"(37.78347684038751, -122.4124351407277)"
2161,Medical Incident,"(37.75142522120634, -122.43298834001564)"
2162,Medical Incident,"(37.78176159407453, -122.41105817541424)"
2163,Alarms,"(37.787755911127356, -122.39070075386388)"
2164,Alarms,"(37.7474217897142, -122.42488107473815)"
2165,Medical Incident,"(37.775963171236334, -122.47137043126602)"
2166,Medical Incident,"(37.75524530990762, -122.39565974671002)"
2167,Traffic Collision,"(37.76062760114267, -122.48007202651132)"
2168,Medical Incident,"(37.79282365093117, -122.39703419008931)"
2169,Medical Incident,"(37.79807162521424, -122.44983490875634)"
2170,Medical Incident,"(37.78845684141381, -122.40183733610037)"
2171,Medical Incident,"(37.782337590077724, -122.41389135199492)"
2172,Alarms,"(37.78976142654421, -122.40481437114879)"
2173,Medical Incident,"(37.7941765570078, -122.40655214722902)"
2174,Medical Incident,"(37.75182320592795, -122.45732262966104)"
2175,Other,"(37.78729494656929, -122.40327706570574)"
2176,Medical Incident,"(37.79767063986633, -122.4078070280547)"
2177,Medical Incident,"(37.78507459561367, -122.41113980106664)"
2178,Alarms,"(37.77453448775663, -122.48218377165352)"
2179,Medical Incident,"(37.73448127491943, -122.39191206697484)"
2180,Medical Incident,"(37.788337139908634, -122.41601722783916)"
2181,Medical Incident,"(37.782337590077724, -122.41389135199492)"
2182,Medical Incident,"(37.790176140467565, -122.44903223116191)"
2183,Structure Fire,"(37.786409613771546, -122.4080362362708)"
2184,Medical Incident,"(37.79577785488296, -122.4049818178887)"
2185,Structure Fire,"(37.77903213273744, -122.40184327443923)"
2186,Structure Fire,"(37.79102834173834, -122.4208486210382)"
2187,Medical Incident,"(37.7969551635484, -122.39890821326146)"
2188,Alarms,"(37.779167421925955, -122.40634642563238)"
2189,Citizen Assist / Service Call,"(37.78656482629239, -122.42240333376927)"
2190,Medical Incident,"(37.721294146845764, -122.39508265581476)"
2191,Medical Incident,"(37.78305906182124, -122.41571987823016)"
2192,Alarms,"(37.78137782059864, -122.4331620455216)"
2193,Medical Incident,"(37.78356547554972, -122.41505113624923)"
2194,Medical Incident,"(37.7820730668609, -122.41222073685391)"
2195,Traffic Collision,"(37.78310139927685, -122.4191817050345)"
2196,Medical Incident,"(37.75633027490241, -122.39556536014139)"
2197,Medical Incident,"(37.773554963877615, -122.48311782333543)"
2198,Medical Incident,"(37.76088893303751, -122.43500070271304)"
2199,Medical Incident,"(37.780906077687014, -122.41340129915474)"
2200,Medical Incident,"(37.720869240780196, -122.387247607197)"
2201,Medical Incident,"(37.75857196664459, -122.40672604501253)"
2202,Medical Incident,"(37.75142522120634, -122.43298834001564)"
2203,Structure Fire,"(37.795312940901304, -122.39797475062254)"
2204,Medical Incident,"(37.79047503616445, -122.39055604599017)"
2205,Medical Incident,"(37.78065228015227, -122.396589419143)"
2206,Medical Incident,"(37.77210825818018, -122.43043392026343)"
2207,Medical Incident,"(37.78788961277273, -122.40104304461542)"
2208,Medical Incident,"(37.786358950502645, -122.41983309070173)"
2209,Medical Incident,"(37.74854035882419, -122.41362712865411)"
2210,Traffic Collision,"(37.732739231175, -122.40517104923119)"
2211,Medical Incident,"(37.79807162521424, -122.44983490875634)"
2212,Medical Incident,"(37.7786578549412, -122.41658034469829)"
2213,Medical Incident,"(37.77546279127509, -122.40170377132124)"
2214,Medical Incident,"(37.79073739424644, -122.41987274042768)"
2215,Medical Incident,"(37.7423115712902, -122.42208780201167)"
2216,Traffic Collision,"(37.732739231175, -122.40517104923119)"
2217,Medical Incident,"(37.78715918395199, -122.38833128335644)"
2218,Medical Incident,"(37.7207027284867, -122.48105803214075)"
2219,Medical Incident,"(37.75182320592795, -122.45732262966104)"
2220,Medical Incident,"(37.74609497608644, -122.40692220454407)"
2221,Traffic Collision,"(37.78310139927685, -122.4191817050345)"
2222,Structure Fire,"(37.769797850927084, -122.44857881483767)"
2223,Medical Incident,"(37.789253365793925, -122.42294721544586)"
2224,Traffic Collision,"(37.77442902938668, -122.43098646176873)"
2225,Medical Incident,"(37.78840477516522, -122.43029524376192)"
2226,Medical Incident,"(37.75857194269895, -122.48423074370487)"
2227,Medical Incident,"(37.75375239188631, -122.48879772930376)"
2228,Medical Incident,"(37.71340778463554, -122.46355845115284)"
2229,Medical Incident,"(37.75142522120634, -122.43298834001564)"
2230,Medical Incident,"(37.777493843609115, -122.41629170277031)"
